datetime,open,high,low,close,volume
2026-04-10 02:35:00,72186.0100,72199.9300,72163.6300,72163.6300,4.8944
2026-04-10 02:36:00,72163.6200,72181.9400,72163.6200,72177.5600,4.8592
2026-04-10 02:37:00,72177.5500,72194.0000,72168.7400,72194.0000,12.0858
2026-04-10 02:38:00,72194.0000,72200.0000,72175.3600,72175.3700,12.2942
2026-04-10 02:39:00,72175.3700,72175.3700,72148.1300,72167.1200,9.1162
2026-04-10 02:40:00,72167.1200,72182.2300,72163.9200,72180.5200,18.1516
2026-04-10 02:41:00,72180.5300,72183.2900,72160.2100,72160.2200,4.9924
2026-04-10 02:42:00,72160.2100,72160.2200,72129.1800,72129.1900,6.4694
2026-04-10 02:43:00,72129.1900,72129.1900,72123.7400,72129.0400,4.2542
2026-04-10 02:44:00,72129.0400,72154.6500,72129.0300,72154.6500,6.7492
2026-04-10 02:45:00,72154.6400,72154.6500,72097.1600,72114.7800,20.2636
2026-04-10 02:46:00,72114.7900,72126.5600,72081.6600,72082.8500,30.1514
2026-04-10 02:47:00,72082.8500,72101.0700,72054.8000,72074.9600,12.4826
2026-04-10 02:48:00,72074.9600,72074.9700,72024.1900,72038.4400,14.6544
2026-04-10 02:49:00,72038.4400,72052.5400,71995.3900,71999.3900,24.2598
2026-04-10 02:50:00,71999.3900,71999.3900,71948.9200,71948.9300,22.3542
2026-04-10 02:51:00,71948.9300,72012.1300,71936.4300,72007.6700,24.7184
2026-04-10 02:52:00,72007.6800,72007.6800,71948.0000,71948.0000,15.8682
2026-04-10 02:53:00,71948.0000,71948.0000,71921.5900,71944.6200,58.7140
2026-04-10 02:54:00,71944.6200,72010.0200,71937.4200,72010.0100,233.3154
2026-04-10 02:55:00,72010.0100,72010.0100,71960.3600,71988.1500,27.5606
2026-04-10 02:56:00,71988.1400,71988.1500,71967.0400,71972.8000,5.5554
2026-04-10 02:57:00,71972.8100,71982.1600,71963.3300,71963.3300,10.2660
2026-04-10 02:58:00,71963.3300,71963.3400,71935.0000,71940.4600,21.0370
2026-04-10 02:59:00,71940.4500,71965.9800,71940.4400,71965.3600,5.4134
2026-04-10 03:00:00,71965.3600,71965.3700,71930.0000,71942.0000,31.1472
2026-04-10 03:01:00,71942.0000,71956.6100,71930.0000,71930.0100,28.2252
2026-04-10 03:02:00,71930.0000,71962.4700,71930.0000,71962.4700,9.6912
2026-04-10 03:03:00,71962.4600,72014.4000,71962.4600,72013.5900,30.2822
2026-04-10 03:04:00,72013.6000,72027.3700,71954.8700,71954.8700,196.0936
2026-04-10 03:05:00,71954.8700,71954.8800,71936.2700,71936.2800,8.9642
2026-04-10 03:06:00,71936.2800,71936.2800,71893.9900,71927.7900,29.2846
2026-04-10 03:07:00,71927.7800,71987.2100,71927.7800,71987.2000,14.5194
2026-04-10 03:08:00,71987.2000,71987.2100,71981.8900,71981.9000,7.8404
2026-04-10 03:09:00,71981.9000,71981.9000,71914.0000,71914.0000,135.7336
2026-04-10 03:10:00,71914.0100,71916.4400,71896.0900,71898.4700,96.2128
2026-04-10 03:11:00,71898.4700,71904.3500,71898.4600,71901.9300,14.6000
2026-04-10 03:12:00,71901.9300,71923.7000,71901.9200,71909.8700,3.7374
2026-04-10 03:13:00,71909.8700,71918.9100,71884.9800,71884.9800,13.3794
2026-04-10 03:14:00,71884.9900,71901.6800,71851.1200,71863.7400,47.8476
2026-04-10 03:15:00,71863.7500,71876.7400,71850.0000,71869.5500,12.8670
2026-04-10 03:16:00,71869.5400,71884.9900,71869.5400,71884.9800,7.0328
2026-04-10 03:17:00,71884.9900,71904.3700,71884.9800,71904.0500,6.9500
2026-04-10 03:18:00,71904.8800,71930.4500,71904.8800,71910.0100,7.0720
2026-04-10 03:19:00,71910.0000,71910.0100,71874.4100,71902.6000,12.5812
2026-04-10 03:20:00,71902.5900,71902.6000,71888.5500,71888.5600,8.3064
2026-04-10 03:21:00,71888.5500,71911.3200,71888.5500,71909.2000,3.1806
2026-04-10 03:22:00,71909.2000,71909.2000,71888.6900,71888.6900,3.8556
2026-04-10 03:23:00,71888.7000,71888.7000,71853.2900,71877.0700,14.5790
2026-04-10 03:24:00,71877.0800,71877.0800,71859.1800,71859.1800,5.6484
2026-04-10 03:25:00,71859.1900,71859.1900,71852.3700,71855.4000,5.8912
2026-04-10 03:26:00,71856.0000,71882.4500,71843.6300,71875.2500,8.6388
2026-04-10 03:27:00,71875.2600,71875.2600,71847.2400,71851.5500,10.4514
2026-04-10 03:28:00,71851.5500,71857.1600,71833.3400,71833.3400,16.8304
2026-04-10 03:29:00,71833.3500,71839.9700,71814.7500,71814.7600,16.3252
2026-04-10 03:30:00,71814.7500,71853.6900,71813.7300,71853.6800,11.1016
2026-04-10 03:31:00,71853.6800,71865.7300,71853.6800,71865.1000,8.2948
2026-04-10 03:32:00,71865.0900,71872.0000,71865.0900,71865.9200,6.4934
2026-04-10 03:33:00,71865.9300,71909.5200,71865.9200,71904.6800,12.1888
2026-04-10 03:34:00,71904.6900,71916.2000,71890.7700,71890.7800,16.9760
2026-04-10 03:35:00,71890.7800,71941.4100,71890.7800,71928.0600,11.8948
2026-04-10 03:36:00,71927.5100,71967.0300,71913.5300,71960.6300,31.8376
2026-04-10 03:37:00,71960.6200,71967.0300,71941.4200,71941.4200,9.5372
2026-04-10 03:38:00,71941.4100,71941.4200,71910.0100,71921.1000,8.8948
2026-04-10 03:39:00,71921.1100,71939.4200,71900.0000,71900.0000,6.0874
2026-04-10 03:40:00,71900.0000,71911.3600,71900.0000,71911.3600,6.6766
2026-04-10 03:41:00,71911.3600,71945.0300,71889.9200,71945.0200,11.0002
2026-04-10 03:42:00,71945.0200,71945.4400,71917.2500,71917.4700,5.2644
2026-04-10 03:43:00,71917.0300,71931.0900,71902.2900,71923.1700,6.7738
2026-04-10 03:44:00,71923.1700,71923.1700,71920.0000,71920.0000,4.3448
2026-04-10 03:45:00,71919.9800,71942.6400,71910.6700,71922.0100,6.1530
2026-04-10 03:46:00,71922.0000,71940.9900,71916.9500,71940.9800,6.4642
2026-04-10 03:47:00,71940.9800,71955.1200,71894.4800,71894.4800,8.6438
2026-04-10 03:48:00,71894.4900,71894.4900,71861.6500,71861.6500,12.7910
2026-04-10 03:49:00,71861.6500,71881.9200,71856.0500,71867.1100,7.2136
2026-04-10 03:50:00,71867.1100,71867.1100,71838.0900,71838.0900,16.9600
2026-04-10 03:51:00,71838.0900,71863.1800,71838.0900,71854.6900,8.7404
2026-04-10 03:52:00,71854.7000,71879.9000,71849.1800,71849.1800,5.9804
2026-04-10 03:53:00,71849.1800,71857.1900,71849.1700,71850.7800,4.6560
2026-04-10 03:54:00,71850.7700,71874.3700,71850.7700,71870.7800,18.0932
2026-04-10 03:55:00,71870.7700,71877.6800,71869.5400,71877.6700,6.3010
2026-04-10 03:56:00,71877.6800,71877.6800,71861.5000,71861.5000,3.9086
2026-04-10 03:57:00,71861.5000,71868.0000,71856.5000,71862.2000,12.5808
2026-04-10 03:58:00,71862.2000,71862.2000,71852.2900,71860.3400,4.2572
2026-04-10 03:59:00,71860.3300,71875.0200,71860.3300,71868.6700,3.2526
2026-04-10 04:00:00,71868.6700,71902.2800,71868.6600,71902.2700,9.1620
2026-04-10 04:01:00,71902.2800,71906.0000,71876.3900,71876.7600,9.5606
2026-04-10 04:02:00,71875.1700,71908.0000,71875.0600,71907.9900,7.8550
2026-04-10 04:03:00,71907.9900,71915.8900,71903.5400,71903.5400,6.0392
2026-04-10 04:04:00,71903.5300,71922.0000,71903.5300,71912.6600,10.2480
2026-04-10 04:05:00,71912.6500,71940.8900,71903.5300,71927.2300,19.3136
2026-04-10 04:06:00,71927.2400,71937.5600,71910.1300,71910.1400,16.6892
